1418;1178
272;226
4078;3372
4333;3591
112;95
13468;10954
42;34
5727;4746
1758;1449
652;541
9833;7957
2522;2080
202;167
10479;8492
1322;1101
1610;1330
12643;10280
1424;1182
2157;1780
2268;1870
2555;2111
3333;2760
3339;2766
496;411
219;180
3913;3235
3197;2651
3590;2973
716;598
2168;1789
2768;2287
4115;3404
1059;880
3874;3204
6196;5133
5224;4337
12050;9790
2177;1797
3519;2912
3382;2799
615;512
11319;9192
3085;2555
114;96
12599;10243
242;200
3589;2972
3906;3229
778;648
10543;8547
2133;1760
2141;1766
13694;11141
2924;2421
295;244
3291;2725
1512;1253
3606;2986
3959;3270
4821;3999
4937;4099
11545;9377
132;110
2762;2282
4165;3444
4437;3681
714;596
11004;8931
4295;3559
1946;1605
3721;3077
3987;3296
1271;1058
1339;1116
4555;3778
4137;3422
4212;3485
4416;3663
5563;4616
798;666
3850;3185
2428;1998
2686;2218
3769;3116
819;683
822;685
2619;2164
2713;2240
638;530
725;606
2623;2167
4188;3465
4471;3708
605;503
2074;1709
2560;2116
6644;5505
4340;3597
3124;2588
769;641
859;717
1031;856
12577;10227
3267;2707
3885;3212
1359;1132
2490;2052
255;212
4467;3705
9933;8041
1019;845
3638;3012
4832;4009
5478;4543
7796;6461
8030;6649
4251;3521
4532;3756
8295;6872
2469;2034
1517;1257
161;134
1850;1526
1885;1554
3765;3113
4270;3538
1913;1580
2226;1835
2527;2084
2548;2104
4426;3672
4534;3758
1223;1019
192;159
3522;2915
590;491
655;544
2361;1943
946;790
12750;10361
1251;1043
1329;1108
4007;3315
438;360
1280;1067
13968;11359
3249;2693
447;367
9930;8039
1765;1456
4789;3970
7434;6157
12991;10562
2329;1919
365;300
4166;3445
425;348
3063;2537
3577;2963
5204;4321
11195;9093
267;222
4560;3782
1759;1450
19;14
335;278
2493;2054
3568;2954
4380;3631
4479;3714
719;600
722;603
2606;2153
5132;4258
158;132
3225;2670
402;329
4516;3743
457;377
2299;1894
4473;3710
4684;3886
497;412
1011;839
1194;990
1826;1507
2184;1803
2921;2418
3687;3050
6764;5602
12133;9859
6299;5213
1020;846
3297;2731
3515;2908
510;424
13113;10663
4504;3733
9555;7721
954;796
1438;1192
321;266
487;403
5002;4150
6039;4999
1380;1147
2536;2093
707;589
12850;10445
1669;1379
3517;2910
3858;3192
11371;9235
742;618
3821;3160
466;386
3310;2742
4258;3527
4360;3614
4723;3917
1228;1023
4167;3446
10043;8129
1861;1535
273;227
3811;3151
4901;4066
1473;1220
2308;1900
2929;2424
4345;3602
493;408
999;830
5012;4158
1057;878
1244;1037
1578;1304
1886;1555
2175;1795
2259;1862
3192;2646
4507;3735
1146;950
2501;2062
3616;2994
358;294
305;253
4083;3377
1242;1035
2569;2124
575;478
2785;2301
2796;2310
6610;5477
810;675
3501;2897
3620;2998
10040;8127
2312;1903
254;211
370;303
1445;1197
3167;2625
8502;7045
1492;1237
2363;1944
2431;2001
4546;3770
3187;2641
4157;3437
4974;4131
2496;2057
7186;5944
1062;882
2532;2089
3405;2818
4663;3869
4833;4010
5366;4448
808;673
1213;1009
2013;1660
3504;2899
4343;3600
4429;3675
4457;3696
10528;8533
1030;855
11491;9333
13690;11138
1607;1328
4721;3915
503;417
5376;4456
5233;4343
453;373
1182;981
12802;10404
3092;2561
1384;1151
1253;1044
130;108
1899;1567
3115;2581
374;307
5521;4580
1040;863
2971;2460
3186;2640
7567;6265
2998;2483
3256;2698
1080;897
3751;3102
116;97
1353;1127
2434;2004
3356;2779
3830;3167
2063;1698
2104;1734
2332;1922
1480;1227
2045;1685
3173;2629
3259;2701
3357;2780
5016;4161
5461;4527
791;660
4316;3578
2203;1817
4923;4086
861;718
11701;9504
1791;1478
483;399
1793;1480
2562;2118
2739;2262
3733;3086
4341;3598
12662;10297
2709;2237
3360;2783
528;438
3883;3210
3958;3269
4699;3897
6468;5357
1616;1335
1243;1036
2335;1924
3151;2611
3415;2825
256;213
2657;2195
3026;2506
537;446
9276;7487
10145;8212
3894;3220
4190;3467
4915;4078
9721;7861
688;573
1140;945
2910;2409
3756;3106
858;716
963;804
1478;1225
5175;4296
1980;1634
12986;10558
13576;11042
2476;2040
3023;2504
3037;2515
4751;3940
5684;4715
6178;5120
3779;3124
1049;871
1525;1264
2585;2138
339;281
473;392
2232;1841
5526;4585
2146;1770
2429;1999
3166;2624
3404;2817
984;819
3583;2968
434;356
4376;3628
468;387
87;73
1056;877
3337;2764
146;122
1938;1599
2126;1754
3395;2811
3544;2934
4235;3507
4791;3972
9427;7614
3084;2554
597;497
9569;7733
9582;7745
1954;1611
3947;3262
4929;4092
7325;6062
2626;2170
2779;2296
2845;2354
3036;2514
797;665
13134;10679
2841;2350
2481;2044
2616;2162
208;172
3699;3059
3984;3293
4472;3709
4116;3405
128;106
1316;1097
2374;1953
2502;2063
2782;2298
280;232
3896;3221
4231;3503
439;361
5468;4533
1027;853
1762;1453
3056;2532
4493;3725
5579;4631
7576;6273
1231;1026
1461;1210
3079;2550
5200;4318
6906;5708
3943;3259
5333;4423
231;191
471;390
834;696
3735;3088
4772;3956
592;493
679;566
12328;10022
1680;1388
3245;2689
566;471
593;494
3387;2803
3439;2845
4211;3484
5245;4354
646;537
1292;1077
1800;1486
2542;2099
4543;3767
489;404
1483;1230
2423;1994
309;256
3268;2708
2759;2279
3615;2993
3181;2635
3279;2716
441;363
131;109
7195;5952
876;730
2102;1732
1883;1552
1890;1559
2864;2370
347;286
464;384
8636;7156
1169;970
236;195
2529;2086
4654;3861
12378;10065
127;105
1690;1396
1929;1591
2508;2069
3425;2834
2235;1843
3458;2862
9929;8038
2124;1752
2978;2467
6255;5180
13051;10613
2154;1777
2430;2000
2659;2197
3890;3216
4492;3724
1522;1261
3611;2990
6301;5215
1345;1121
1589;1314
1971;1626
4112;3401
4863;4035
6753;5593
1833;1513
5275;4377
5243;4352
2267;1869
4019;3325
77;66
1378;1146
3535;2927
4318;3580
1165;967
3713;3071
1066;885
13201;10738
1396;1160
474;393
238;196
2982;2471
4349;3606
4763;3948
1900;1568
2513;2072
1018;844
1864;1538
4660;3866
1914;1581
8392;6950
2865;2371
3201;2653
5159;4283
2401;1976
2724;2250
3308;2741
490;405
4230;3502
4725;3919
588;489
2440;2009
2740;2263
3116;2582
56;48
13405;10905
1333;1112
2698;2227
3477;2877
4069;3366
608;506
76;65
2644;2184
2808;2321
334;277
4417;3664
138;115
3019;2501
4638;3847
4765;3950
10636;8625
13620;11079
2155;1778
5911;4894
1459;1208
1836;1515
2164;1786
2572;2126
7672;6353
12396;10079
1296;1080
2478;2041
1157;960
4627;3839
9914;8026
3994;3302
7855;6505
13044;10607
2395;1970
7422;6148
3184;2638
414;339
5249;4358
8366;6930
1583;1309
2609;2156
3135;2599
4194;3471
816;680
2984;2472
992;825
1529;1267
3671;3038
4749;3938
513;427
907;757
2995;2480
4293;3558
4518;3745
2015;1662
3130;2594
3384;2800
5223;4336
5232;4342
9593;7753
1912;1579
2214;1826
225;185
1795;1482
333;276
3893;3219
5263;4368
887;739
1197;993
1807;1491
2343;1929
3567;2953
4592;3811
1098;911
2128;1756
2137;1763
2880;2385
508;422
6275;5196
662;549
9760;7894
11497;9337
3260;2702
3829;3166
469;388
5126;4253
11596;9422
1779;1467
2117;1745
3573;2959
3992;3300
7862;6510
